id,name,dateOfBirth,positionName,positionShortName,portraitUrl,currentMarketValue,Historique_Clubs_Stats,taille,Nationalité 1,Nationalité 2
58361,Wilson Palacios,1984-07-29,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/s_58361_512_2013_03_08_1.jpg,0.0,"Stoke City (2014-2015): 0B, 0PD",1.81,Honduras,
58396,Christian Groß,1989-02-08,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/58396-1660208099.jpg,0.0,"SV Werder Bremen (2019-2020): 6B, 1PD | SV Werder Bremen (2020-2021): 6B, 8PD | SV Werder Bremen (2022-2023): 3B, 19PD | SV Werder Bremen (2023-2024): 13B, 6PD",1.82,Allemagne,
58405,Artem Kravets,1989-06-03,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/58405-1664104417.png,0.0,"Granada CF (2016-2017): 10B, 10PD | VfB Stuttgart (2015-2016): 10B, 3PD",1.89,Ukraine,
58426,Douglas,1990-08-06,Right-Back,RB,https://img.a.transfermarkt.technology/portrait/big/58426-1568212194.JPG,0.0,"FC Barcelona (2014-2015): 3B, 1PD | FC Barcelona (2015-2016): 2B, 0PD | FC Barcelona (2016-2017): 0B, 0PD | Sporting Gijón (2016-2017): 2B, 3PD",1.71,Brésil,
58437,Dani Schahin,1989-07-09,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/58437-1500281674.jpg,0.0,"SC Freiburg (2014-2015): 12B, 1PD",,Allemagne,Ukraine
58500,Alfredo Morales,1990-05-12,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/58500-1740677061.jpg,100000.0,"Fortuna Düsseldorf (2018-2019): 8B, 3PD | Fortuna Düsseldorf (2019-2020): 9B, 5PD",1.83,États-Unis,Allemagne
58516,Lucas Barrios,1984-11-13,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/58516-1712567566.jpg,0.0,"Montpellier HSC (2014-2015): 1B, 20PD",1.89,Paraguay,Argentine
58576,Miguel Layún,1988-06-25,Right-Back,RB,https://img.a.transfermarkt.technology/portrait/big/58576-1445516135.jpg,0.0,"Watford FC (2015-2016): 1B, 2PD | Sevilla FC (2017-2018): 7B, 0PD | Villarreal CF (2018-2019): 4B, 2PD",1.8,Mexique,Espagne
58774,José Manuel Casado,1986-08-09,Left-Back,LB,https://img.a.transfermarkt.technology/portrait/big/58774-1476115095.jpg,0.0,"Málaga CF (2014-2015): 0B, 0PD | UD Almería (2014-2015): 3B, 2PD",1.73,Espagne,
58799,Salva Sevilla,1984-03-18,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/58799-1447228879.jpg,0.0,"RCD Espanyol Barcelona (2014-2015): 13B, 13PD | RCD Espanyol Barcelona (2015-2016): 12B, 4PD | RCD Espanyol Barcelona (2016-2017): 3B, 4PD | RCD Mallorca (2019-2020): 4B, 15PD | RCD Mallorca (2021-2022): 13B, 18PD",1.78,Espagne,
58818,Claudio Beauvue,1988-04-16,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/58818-1418296087.jpg,0.0,"Celta de Vigo (2015-2016): 7B, 3PD | Celta de Vigo (2016-2017): 14B, 3PD | Celta de Vigo (2017-2018): 0B, 0PD | CD Leganés (2017-2018): 13B, 9PD | EA Guingamp (2014-2015): 4B, 11PD | Olympique Lyon (2015-2016): 8B, 10PD | SM Caen (2018-2019): 9B, 9PD",1.75,Guadeloupe,France
58864,Pierre-Emerick Aubameyang,1989-06-18,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/58864-1676029326.png,3500000.0,"Chelsea FC (2022-2023): 10B, 12PD | FC Barcelona (2021-2022): 5B, 17PD | FC Barcelona (2022-2023): 1B, 0PD | Borussia Dortmund (2014-2015): 3B, 12PD | Borussia Dortmund (2015-2016): 5B, 13PD | Borussia Dortmund (2016-2017): 2B, 8PD | Borussia Dortmund (2017-2018): 0B, 1PD | Olympique Marseille (2023-2024): 6B, 18PD",1.87,Gabon,France
58874,Ignacio Camacho,1990-05-04,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/58874-1532332612.jpg,0.0,"Málaga CF (2014-2015): 0B, 1PD | Málaga CF (2015-2016): 0B, 2PD | Málaga CF (2016-2017): 0B, 1PD | VfL Wolfsburg (2017-2018): 2B, 3PD | VfL Wolfsburg (2018-2019): 0B, 0PD | VfL Wolfsburg (2019-2020): 0B, 0PD",1.82,Espagne,
58993,Junior Hoilett,1990-06-05,Left Winger,LW,https://img.a.transfermarkt.technology/portrait/big/58993-1554051302.jpg,50000.0,"Cardiff City (2018-2019): 10B, 10PD",1.74,Canada,Jamaïque
58995,Anthony Jung,1991-11-03,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/58995-1753984159.jpg,1000000.0,"RB Leipzig (2016-2017): 0B, 0PD | SV Werder Bremen (2022-2023): 3B, 22PD | SV Werder Bremen (2023-2024): 1B, 6PD | SV Werder Bremen (2024-2025): 10B, 6PD",1.86,Allemagne,Espagne
59016,David Alaba,1992-06-24,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/59016-1684921582.jpeg,4000000.0,"Real Madrid (2021-2022): 0B, 6PD | Real Madrid (2022-2023): 4B, 9PD | Real Madrid (2023-2024): 0B, 3PD | Real Madrid (2024-2025): 7B, 6PD | Bayern Munich (2014-2015): 0B, 2PD | Bayern Munich (2015-2016): 3B, 1PD | Bayern Munich (2016-2017): 4B, 5PD | Bayern Munich (2017-2018): 7B, 5PD | Bayern Munich (2018-2019): 2B, 6PD | Bayern Munich (2019-2020): 1B, 3PD | Bayern Munich (2020-2021): 3B, 4PD",1.8,Autriche,
